kyr_oblast,rus_oblast,oblast,oblast_code,kyr_items,rus_items,items,label,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Жалал-Абад облусу,Джалал-Абадская область,Jalalabat oblast,kg-da,Азыктык бакча өсүмдүктөр ,Бахчи продовольственные,Melons,melons,,7.3,5.1,3.7,3.1,4.6,7.4,11.1,12.3,17.8,18.8,20.5,7.2,20.1,20.6,17.2,16.2,35.6,36.5,63,84.2,61.8,95.2,93.7,98.1
Жалал-Абад облусу,Джалал-Абадская область,Jalalabat oblast,kg-da,Мөмө-жемиш өсүмдүктөр ,Плоды и ягоды,Fruits and berries,fruits,,10.5,12.8,9.5,12.5,13.3,13.2,19.2,19.6,18.3,26.1,29.1,26.3,19.9,29.1,22.8,35.4,35.1,39.5,39.5,39.9,42,43.6,43.8,44
Жалал-Абад облусу,Джалал-Абадская область,Jalalabat oblast,kg-da,Жүзүм ,Виноград,Grapes,grapes,,7.9,10.9,1.6,5.6,6.1,2.5,5.4,2,3.7,6.2,6.5,3.8,2,2.6,1.8,3,2.7,2.3,2.5,0.5,1.1,1.2,1.1,1.1
Жалал-Абад облусу,Джалал-Абадская область,Jalalabat oblast,kg-da,Эт (тирүүлүй салмакта) ,Мясо (в убойном весе),Meat (at slaughter weight),meat,,31.3,32.3,33.7,32.5,22,23.2,23.1,21.9,23.5,24.3,24.7,25.4,25.6,25.9,24.7,25,25.5,25.2,25.2,25.7,26.8,29,28.3,31.4
Жалал-Абад облусу,Джалал-Абадская область,Jalalabat oblast,kg-da,Чийки сүт ,Молоко,Milk,milk,176.6,175.2,148.5,148,138.1,126.9,131.3,135.7,144.3,163.7,175.9,185.1,192.4,198.8,202.8,203.5,211.1,222.8,234.5,253.8,272.2,273.9,279,286.7,298.3
Жалал-Абад облусу,Джалал-Абадская область,Jalalabat oblast,kg-da,"Жумуртка, млн. даана ","Яйца, млн. шт.",Eggs (mln pieces),eggs,64.8,55,42.9,32.6,12.2,7.5,14.4,16.3,16.8,19,22.6,23.8,25.7,28.8,31.5,32.5,32.7,35.1,37.8,40.9,43.6,45.7,47.5,50.6,52.4
Жалал-Абад облусу,Джалал-Абадская область,Jalalabat oblast,kg-da,Жүн (физикалык салмакта),Шерсть (в физическом весе),Wool (physical weight),wool,5.9,5.4,6,4.9,3,2,1.6,1.6,1.6,1.6,1.7,1.7,1.6,1.6,1.6,1.6,1.6,1.6,1.7,1.7,1.8,1.9,1.9,1.9,2.1
Ысык-Көл облусу,Иссык-Кульская область,Issyk-Kul oblast,kg-yk,Дан (иштетилгенден кийинки салмакта),Зерно (в весе после доработки) ,Grains (weight after reprocessing),grains,,184.4,223,275.7,211.5,140.3,193.6,277.7,298.5,302.3,275,300.6,287.7,222.5,237.7,206.3,185.6,172.4,151,253.7,178.3,176.7,127.6,199.3,148.3
Ысык-Көл облусу,Иссык-Кульская область,Issyk-Kul oblast,kg-yk, Буудай (иштетилгенден кийинки салмакта), Пшеница  (в весе после доработки) , Wheat (weight after reprocessing),wheat,,72.3,106.2,160.9,134.7,101.4,136.9,226.3,252.5,250.3,220.3,256.6,242,168,178.1,158.3,141.2,126.5,120,203.6,138,136.9,94.3,145.9,106.1
Ысык-Көл облусу,Иссык-Кульская область,Issyk-Kul oblast,kg-yk, Арпа (иштетилгенден кийинки салмакта), Ячмень  (в весе после доработки) , Barley (weight after reprocessing),barley,,105.3,111.1,108.3,72.4,37.7,55.5,50.4,44.9,50.7,53.5,42.5,44.2,52.9,58.1,46.8,43.5,44.4,30,48.2,39.3,38.7,32.8,52.5,41.1
Ысык-Көл облусу,Иссык-Кульская область,Issyk-Kul oblast,kg-yk, Дандык жүгөрү, Кукуруза на зерно, Corn,corn,,,,,,,,,,,,,0.2,,0.005,0.007,0.02,0.05,0.05,0.03,0.007,,,,
